station,Date,Present_Tmax,Present_Tmin,LDAPS_RHmin,LDAPS_RHmax,LDAPS_Tmax_lapse,LDAPS_Tmin_lapse,LDAPS_WS,LDAPS_LH,LDAPS_CC1,LDAPS_CC2,LDAPS_CC3,LDAPS_CC4,LDAPS_PPT1,LDAPS_PPT2,LDAPS_PPT3,LDAPS_PPT4,lat,lon,DEM,Slope,Solar radiation,Next_Tmax,Next_Tmin
24,2013-06-30,31.5,25,52.07278442,73.69394684,29.34425186,24.8568064,6.222672025,49.00751964,0.342294439,0.346846606,0.213114563,0.150828614,0,0,0,0,37.5237,126.909,17.2956,0.2223,5850.358887,31.3,23.7
25,2013-06-30,32.5,24.2,50.27460861,75.52501678,29.96375331,24.97286375,6.265457382,23.34217552,0.283318426,0.289609929,0.20345857,0.142098386,0,0,0,0,37.5237,126.97,19.5844,0.2713,5855.09375,32,24.2
1,2013-07-01,28.3,21.2,72.79857636,97.64279175,25.27671609,21.14256154,15.60804504,64.9149458,0.615612061,0.843198535,0.81045519,0.62203974,0.804222465,9.933111086,0.237004317,0.848081543,37.6046,126.991,212.335,2.785,5987.71875,24.8,18.7
2,2013-07-01,30.5,22.9,65.73069,92.9493866,27.4375227,22.71301977,11.3918136,70.69303322,0.617177998,0.901149031,0.763317317,0.59106463,0.464744457,11.83342134,0.253719132,1.513873922,37.6046,127.032,44.7624,0.5141,5863.956055,27.3,21.5
3,2013-07-01,30.3,24.5,62.74357605,90.56828308,28.37812286,23.09748616,11.70179192,78.72146373,0.606684894,0.890558138,0.765460797,0.601785302,0.543196224,11.49145773,0.271108305,2.75996574,37.5776,127.058,33.3068,0.2661,5858.20166,28.1,21.8
4,2013-07-01,31,24.5,74.53421783,97.6300354,26.44499556,22.18528437,12.58601775,67.37863513,0.583464041,0.842180119,0.760137955,0.587809867,0.444243838,9.090755264,0.261195129,3.192251516,37.645,127.022,45.716,2.5348,5851.575195,27.9,21.5
5,2013-07-01,30.8,22.6,72.63654327,94.36520386,27.01157324,23.10447276,12.4243956,105.3035129,0.598722628,0.880431728,0.723178472,0.618996355,0.3401134,9.16058205,0.258917118,3.395695708,37.5507,127.135,35.038,0.5055,5854.146973,28.2,22.2
6,2013-07-01,31,24.1,65.52217102,91.15923309,27.68082395,22.96795835,12.50106831,100.761024,0.574738029,0.872533172,0.755782352,0.630178305,1.195706706,6.931812486,0.247168981,2.898612668,37.5102,127.042,54.6384,0.1457,5868.374512,28.9,22.3
7,2013-07-01,30.5,23.6,73.59443665,93.41606903,26.43266819,22.53118843,13.28583898,122.1333132,0.609439574,0.772702514,0.735475224,0.562952298,0.562011714,5.486298877,0.200886746,0.604448318,37.5776,126.838,12.37,0.0985,5843.853516,27.6,21.2
8,2013-07-01,31,23.1,66.70443726,92.33698273,26.90571545,22.55986447,12.79457045,82.40053471,0.61058641,0.754831716,0.744900927,0.572974157,2.244908027,5.686821675,0.173180796,2.262280668,37.4697,126.91,52.518,1.5629,5858.525879,28.2,21.3
9,2013-07-01,30.5,21.7,72.05588531,93.54278564,26.21290971,22.07256857,13.74926058,75.83857814,0.583443453,0.782615826,0.693510368,0.556918599,1.487056633,6.840253832,0.208492875,2.030875172,37.4967,126.826,50.9312,0.4125,5871.54541,27.1,21
10,2013-07-01,30,21.1,68.92158508,95.18622589,25.39379117,21.40504664,13.52658719,79.97903705,0.564918566,0.759817389,0.698832018,0.619763799,1.836138883,5.555646589,0.202441586,2.291009799,37.4562,126.955,208.507,5.1782,5887.616211,27.5,20.7
11,2013-07-01,30.6,24.8,64.81935883,90.86804962,28.29515651,23.26524654,11.86145327,97.13036982,0.592851182,0.901467755,0.747132619,0.61098487,0.755655935,8.225176022,0.258947051,3.231347817,37.5372,127.085,28.7,0.6233,5858.687012,28.9,22.5
12,2013-07-01,32,22.2,65.32542419,91.7294693,27.05757991,22.25981928,12.75320748,78.85335139,0.591133791,0.884395195,0.753662088,0.608417702,1.283185939,9.217300966,0.269399904,2.649243699,37.5507,126.988,132.118,0.5931,5918.901367,26.8,19.8
13,2013-07-01,30.9,24.8,62.57317734,91.00751495,28.25579447,23.09450999,11.32779938,80.92581185,0.61063285,0.901055456,0.772177123,0.610183516,0.414610125,11.41392718,0.27150146,3.012929015,37.5776,127.083,59.8324,2.6865,5855.550293,28.7,22.3
14,2013-07-01,30.8,22.9,64.40576172,90.97425079,27.54244583,22.96480134,12.71481027,87.93994443,0.608516007,0.786750561,0.744027155,0.580589002,2.208438436,6.472261953,0.201511736,2.362143854,37.4967,126.927,30.968,0.618,5852.552734,27.9,21.5
15,2013-07-01,30.1,23.1,64.74150085,90.71553802,27.65093472,22.8512939,12.39907449,84.72494555,0.604812905,0.841032642,0.773757719,0.575775379,1.631393143,8.088325985,0.239776726,2.388285343,37.5507,126.937,30.0464,0.8552,5861.348633,27.1,20.7
16,2013-07-01,29.9,21.4,71.29189301,93.21128082,26.48378545,22.36288073,12.66935344,90.76669808,0.573985394,0.780090889,0.67324281,0.605721757,1.636845416,5.644781488,0.227548543,2.677204739,37.4697,126.995,82.2912,2.2579,5855.75293,27.5,20.8
17,2013-07-01,30.6,21.6,70.13705444,93.94486237,26.42537665,22.67139004,10.64090391,68.66905109,0.651011611,0.875306425,0.775181164,0.595345108,0.228985962,11.94178899,0.271362552,1.724580045,37.6181,127.099,53.4712,0.697,5866.985352,27.8,21.7
18,2013-07-01,31.5,24.2,70.6847229,92.01984406,26.77985404,22.57419142,11.7315524,88.6230851,0.546151646,0.83427918,0.709808024,0.576097224,1.397540348,5.649839563,0.247749299,2.877794122,37.4832,127.024,56.4448,1.2313,5859.464355,29.2,22.1
19,2013-07-01,30.8,21.9,65.73111725,91.57623291,27.2091226,22.37903369,12.58367874,76.92165367,0.61712407,0.845477949,0.773260607,0.59379469,1.397049006,8.44128814,0.210697087,1.39347655,37.5776,126.938,75.0924,1.7678,5888.26709,27.1,20.5
20,2013-07-01,30.5,23.2,76.48796844,99.19757843,25.69746664,21.45831616,18.04368989,55.81011232,0.601877564,0.82754615,0.822289606,0.614560506,0.63164312,10.07633339,0.254713086,1.371297081,37.6181,127.004,146.554,4.7296,5926.908691,27.3,20.7
21,2013-07-01,30.5,24.3,63.79328156,91.54259491,28.36324414,23.1688291,11.89693717,82.01732894,0.601481146,0.858259993,0.767106242,0.614047465,0.886908944,10.05140224,0.283085242,2.948905339,37.5507,127.04,26.298,0.5721,5853.975098,28.2,21.7
22,2013-07-01,31.8,24.1,68.24116516,91.33728027,27.56189038,23.35067562,12.2434177,120.3839067,0.580715297,0.888694003,0.717738139,0.620365637,0.738487681,6.487334203,0.259174459,3.079744935,37.5102,127.086,21.9668,0.1332,5847.513184,29.1,22.3
23,2013-07-01,31.5,23.5,68.4341507,91.64897156,27.18709049,22.74138202,12.79118335,111.3613453,0.627006141,0.802875083,0.736755004,0.578573087,1.553839898,7.303503861,0.226573097,2.258268905,37.5372,126.891,15.5876,0.1554,5846.012695,28.1,21.8
24,2013-07-01,30.9,24,65.91047668,91.1552887,27.47112974,22.86292135,12.71355206,96.69394875,0.617364807,0.798039065,0.739396955,0.593297188,1.836599623,7.284498485,0.238097434,2.331715455,37.5237,126.909,17.2956,0.2223,5844.961914,28.2,21.9
25,2013-07-01,31.5,24.2,63.29582214,90.15124512,28.0740997,23.12039794,11.78897597,88.43041603,0.585976774,0.861968973,0.770709607,0.604577423,1.763855906,7.809377192,0.253648335,2.594354517,37.5237,126.97,19.5844,0.2713,5849.743164,28.8,21.9
1,2013-07-02,24.4,20.6,55.64727783,98.37004089,27.78549662,19.56176995,11.16863346,74.62592047,0.312105477,0.273683179,0.030996951,0.010616645,0.000503279,0,0,0,37.6046,126.991,212.335,2.785,5981.979492,28.1,17.8
2,2013-07-02,27,22.4,47.84641647,91.92164612,30.19111372,21.08443763,8.84114778,54.55195355,0.253213621,0.269998594,0.025253997,0,0,0,0,0,37.6046,127.032,44.7624,0.5141,5858.019043,30.8,19.8
3,2013-07-02,28,22.6,42.79627991,88.94004822,31.09985859,21.45615279,8.855947753,14.49632748,0.253761849,0.24829105,0.036963465,0.000503523,0,0,0,0,37.5776,127.058,33.3068,0.2661,5852.268066,31.2,20.7
4,2013-07-02,27.7,22.9,55.03902435,96.98162842,29.50526684,19.54712945,6.981138001,81.48602915,0.170103597,0.152252597,0.006085445,0.001857132,0.000330542,0,0,0,37.645,127.022,45.716,2.5348,5845.616211,31.3,20.7
5,2013-07-02,27.8,22.5,51.78120804,92.57404327,29.66286557,21.14236399,8.793535372,136.2970762,0.233981988,0.242542065,0.035643109,0,0,0,0,0,37.5507,127.135,35.038,0.5055,5848.15625,31.3,20.8
6,2013-07-02,28.8,23.1,47.95434189,90.09221649,30.08519008,21.11954912,8.833617409,53.80911096,0.24709233,0.210112923,0.034651563,2.36E-05,0,0,0,0,37.5102,127.042,54.6384,0.1457,5862.382813,31.3,20.9
7,2013-07-02,27.6,23,64.12700653,94.24826813,27.29092282,20.90756037,8.478866567,126.3611517,0.233494308,0.282861475,0.047854887,0.056114352,0,0,0,0,37.5776,126.838,12.37,0.0985,5837.890625,30,20.1
8,2013-07-02,27.8,23.2,54.79208755,91.93755341,28.7647314,20.72751252,9.05396984,47.79477155,0.276731941,0.219181762,0.03087337,0.004854821,0,0,0,0,37.4697,126.91,52.518,1.5629,5852.468262,30,20.3
9,2013-07-02,26.9,22.1,58.81103134,94.6253891,27.90681088,20.35462766,9.052359164,97.25379833,0.270978947,0.219614745,0.028430326,0.019700302,0,0,0,0,37.4967,126.826,50.9312,0.4125,5865.608398,30.1,19.4
10,2013-07-02,27.5,22.5,55.5191536,95.68592834,27.97672585,19.70235393,10.06820198,65.56205275,0.232742538,0.155971929,0.023141971,0.001166544,0,0,0,0,37.4562,126.955,208.507,5.1782,5880.977539,29.4,19.1
11,2013-07-02,28.6,23.2,46.00736618,89.98445129,30.71715662,21.30670599,8.925254901,62.78225923,0.229048888,0.203180954,0.022949654,9.60E-05,0,0,0,0,37.5372,127.085,28.7,0.6233,5852.796875,31.6,21.2
12,2013-07-02,26.2,21.6,46.69628525,91.76262665,29.51587848,20.51496606,9.660558462,26.66173784,0.269246032,0.235780612,0.031009815,0.007261765,0,0,0,0,37.5507,126.988,132.118,0.5931,5912.88623,31.5,18.9
13,2013-07-02,28.4,23.2,42.16406631,89.36790466,31.03747309,21.22521951,8.789325198,34.07828295,0.231055957,0.218827133,0.025204032,0.000305145,0,0,0,0,37.5776,127.083,59.8324,2.6865,5849.480469,31.6,21
14,2013-07-02,27.6,22.4,49.8368454,90.46141052,29.64353305,21.05772446,9.264664233,16.9181515,0.257610059,0.230869513,0.036194119,0.007452765,0,0,0,0,37.4967,126.927,30.968,0.618,5846.571777,30.2,20
15,2013-07-02,26.7,22.4,48.56834412,91.16609955,29.79644225,21.13921628,8.900253952,30.24546349,0.263250947,0.267968794,0.032450383,0.017754473,0,0,0,0,37.5507,126.937,30.0464,0.8552,5855.466797,30.4,19.7
16,2013-07-02,27.5,22.3,53.7555275,93.80367279,29.2131968,20.60155901,8.279846996,96.13059823,0.200427209,0.14581383,0.018900557,0.000353615,0,0,0,0,37.4697,126.995,82.2912,2.2579,5849.513184,30.1,18.9
17,2013-07-02,27.5,22.1,49.50217438,92.25378418,29.82186711,20.88547007,8.388738076,128.8795583,0.190831312,0.237976861,0.027724032,0.000150217,0,0,0,0,37.6181,127.099,53.4712,0.697,5861.010254,31.4,20.5
18,2013-07-02,29,23.1,51.92755508,92.03936005,29.57479701,20.83604368,8.024378816,102.4318776,0.205343745,0.191113008,0.027053332,3.24E-05,0,0,0,0,37.4832,127.024,56.4448,1.2313,5853.381836,32.6,20.8
19,2013-07-02,26.6,22.3,50.45304108,92.43758392,29.18688484,20.75671893,8.830007096,40.75629157,0.262943281,0.280440269,0.030774824,0.026670909,0,0,0,0,37.5776,126.938,75.0924,1.7678,5882.380371,30.5,19.5
20,2013-07-02,27.1,22.6,58.53262329,99.54116058,28.07135363,19.82633288,11.89214206,77.42500949,0.268173231,0.226555675,0.014252344,0.000159154,0.011383684,0,0,0,37.6181,127.004,146.554,4.7296,5921.158691,30.6,20.1
21,2013-07-02,28.1,22.8,44.01414108,89.89665222,30.92310514,21.39850695,8.77695479,16.32354619,0.247418978,0.232316099,0.031840403,0.000450861,0,0,0,0,37.5507,127.04,26.298,0.5721,5848.048828,30.5,20.7
22,2013-07-02,29,23.1,48.91342163,90.62117004,30.2094494,21.34158632,8.337131759,91.60378091,0.233476733,0.231486392,0.034951501,9.69E-07,0,0,0,0,37.5102,127.086,21.9668,0.1332,5841.537598,32.5,20.9
23,2013-07-02,27.9,23,55.61594009,92.99118042,28.56832133,20.99231157,8.612080872,84.3052597,0.244931122,0.250666685,0.028990959,0.024658815,0,0,0,0,37.5372,126.891,15.5876,0.1554,5840.055176,31.2,20.5
24,2013-07-02,27.9,23.1,51.36541367,91.92327881,29.30015648,21.10307526,8.844451865,45.62435444,0.2460043,0.244635419,0.030541436,0.015969715,0,0,0,0,37.5237,126.909,17.2956,0.2223,5838.980469,30.5,20.6
25,2013-07-02,28.5,23,46.02954865,89.79634857,30.45181334,21.29005516,8.811855356,22.26123909,0.25023839,0.228729847,0.032090254,0.007428591,0,0,0,0,37.5237,126.97,19.5844,0.2713,5843.812988,31,20.7
1,2013-07-03,27.9,17.9,76.01796722,95.99053192,28.12565111,21.9825791,10.54649893,39.80990524,0.187603576,0.390578825,0.438748341,0.789554494,0,0,0,0.051695139,37.6046,126.991,212.335,2.785,5975.67627,25.2,20.8
2,2013-07-03,30.4,20.4,67.43305969,88.4930954,30.35374139,23.82354895,8.924415529,34.19226205,0.170972205,0.392751783,0.392969019,0.792734106,0,0,0,0.035844034,37.6046,127.032,44.7624,0.5141,5851.499512,28.4,22.9
3,2013-07-03,30.7,20.8,63.89918137,84.93093109,30.9236132,23.98983891,8.840452413,10.25675501,0.163219205,0.4584139,0.38348435,0.79850517,0,0,0,0.039626737,37.5776,127.058,33.3068,0.2661,5845.751465,28.2,23.1
4,2013-07-03,30.7,20.9,71.9851532,95.42837524,30.21454763,22.63055487,7.632252306,44.41779734,0.095141848,0.401594268,0.332948851,0.727566587,0,0,0,0.021433333,37.645,127.022,45.716,2.5348,5839.094727,28.4,23.3
5,2013-07-03,30.5,20.9,70.62746429,90.73003387,29.87170563,23.10650133,9.116770724,83.3045613,0.127926847,0.412812276,0.404555491,0.756040305,0,0,0,0.041594583,37.5507,127.135,35.038,0.5055,5841.578125,28.7,23.3
6,2013-07-03,30.5,20.9,66.27981567,87.20005035,30.17264409,23.44504866,7.85158211,37.16331649,0.129971636,0.49457903,0.397041432,0.7788579,0,0,0,0.047192981,37.5102,127.042,54.6384,0.1457,5855.803223,28.3,23.7
7,2013-07-03,29.1,20.1,80.02159882,93.48442078,27.91348786,23.18142573,8.706108769,78.74871667,0.242623404,0.507973235,0.491209782,0.725803945,0,0,0,0.047777034,37.5776,126.838,12.37,0.0985,5831.343262,27.1,22.7
8,2013-07-03,28.9,20.4,71.91465759,90.3301239,29.25306458,23.26340416,8.893550952,27.4541897,0.211608881,0.500528853,0.463983483,0.78669449,0,0,0,0.047643459,37.4697,126.91,52.518,1.5629,5845.816895,27.1,22.6
9,2013-07-03,29.4,19.5,77.23519135,92.52099609,28.17551807,22.88558185,9.186913967,51.93360957,0.232755262,0.499764412,0.468217352,0.764385443,0,0,0,0.044546987,37.4967,126.826,50.9312,0.4125,5859.089355,27.4,22.4
10,2013-07-03,28.7,19.3,72.97541809,92.02542114,28.39231061,22.16036443,9.380760133,41.22328527,0.133501325,0.377682941,0.394177141,0.775712392,0,0,0,0.054443861,37.4562,126.955,208.507,5.1782,5873.69043,26.2,22.6
11,2013-07-03,31.6,21.3,65.22405243,86.97291565,30.54470887,23.85109171,8.269839923,41.56073372,0.135106627,0.476881314,0.449292039,0.777209968,0,0,0,0.046048003,37.5372,127.085,28.7,0.6233,5846.328613,28.7,23.9
12,2013-07-03,30.8,18.9,67.72483826,88.56263733,29.42793825,23.2583723,8.90484637,17.71593938,0.189968331,0.465651554,0.433445886,0.806367884,0,0,0,0.049185673,37.5507,126.988,132.118,0.5931,5906.28125,28,22
13,2013-07-03,31.1,21.1,63.46357727,84.986763,30.71394318,23.7137951,8.542201142,22.29584765,0.158866991,0.454980229,0.419772586,0.785713222,0,0,0,0.03859885,37.5776,127.083,59.8324,2.6865,5842.81543,28.7,23.5
14,2013-07-03,29.5,20.3,68.47524261,88.12435913,29.82800217,23.72031256,8.846963604,11.87924206,0.211737638,0.537123351,0.468962811,0.797812749,0,0,0,0.044105088,37.4967,126.927,30.968,0.618,5840.003906,27.5,22.7
15,2013-07-03,29.6,19.8,69.28218079,88.0616684,29.78991307,23.76804894,8.405486027,21.17835351,0.214447006,0.521319569,0.467606858,0.783826951,0,0,0,0.048567201,37.5507,126.937,30.0464,0.8552,5849.007324,27.1,22.5
16,2013-07-03,29.4,19,70.91090393,88.89791107,29.61775424,22.83708916,7.065554241,60.37272596,0.11804155,0.400057152,0.366883517,0.711083911,0,0,0,0.041980342,37.4697,126.995,82.2912,2.2579,5842.662598,26.7,22.8
17,2013-07-03,30.8,20.6,67.85626221,88.08847809,30.13535544,23.14193423,8.127476871,75.17423002,0.151983586,0.36901684,0.39732066,0.772820129,0,0,0,0.02197989,37.6181,127.099,53.4712,0.697,5854.449219,28.6,22.9
18,2013-07-03,31.6,20.9,69.46207428,89.44161224,29.86666726,22.86207855,6.840222339,62.34847685,0.125129768,0.428582788,0.390446365,0.74380378,0,0,0,0.041116888,37.4832,127.024,56.4448,1.2313,5846.703125,29.4,23.5
19,2013-07-03,30.1,19.6,70.73946381,89.2598877,29.32737708,23.49560158,8.501654069,25.68495518,0.201977777,0.434033198,0.461204921,0.770070089,0,0,0,0.049072608,37.5776,126.938,75.0924,1.7678,5875.916016,27.4,22.5
20,2013-07-03,30.1,20.3,78.77919006,98.7556839,28.60945502,22.03927599,12.39046705,38.96497571,0.161518868,0.392112414,0.393325412,0.783168673,0,0,0,0.052353814,37.6181,127.004,146.554,4.7296,5914.817383,27.7,22.8
21,2013-07-03,30.3,20.7,64.92818451,86.07581329,30.7415642,23.94322442,8.384390314,11.59134877,0.150277711,0.458659686,0.370617789,0.797141119,0,0,0,0.048547894,37.5507,127.04,26.298,0.5721,5841.541016,27.6,23.1
22,2013-07-03,31.3,21.1,68.96385193,88.98295593,30.14140419,23.73456404,7.929733892,65.37510093,0.136354089,0.466893082,0.404417198,0.748660024,0,0,0,0.043879742,37.5102,127.086,21.9668,0.1332,5834.976074,28.5,23.8
23,2013-07-03,31,20.5,75.45088196,90.75209045,28.95543916,23.53166519,8.186458071,57.08670791,0.209705218,0.52583022,0.459000376,0.75865399,0,0,0,0.049158409,37.5372,126.891,15.5876,0.1554,5833.513672,27.6,23.4
24,2013-07-03,30.1,20.7,71.47318268,89.10109711,29.4905728,23.70098639,8.429956039,32.2527922,0.207496098,0.5320862,0.463719615,0.785593274,0,0,0,0.048255791,37.5237,126.909,17.2956,0.2223,5832.412109,27.7,23.2
25,2013-07-03,30.8,20.8,66.42178345,86.66480255,30.36316001,24.06777289,8.111392816,16.09395874,0.201253845,0.53074936,0.446360454,0.807184704,0,0,0,0.046988686,37.5237,126.97,19.5844,0.2713,5837.300781,27.9,23.2
1,2013-07-04,24.9,21.5,55.88856506,97.40248108,30.45825191,22.07707775,7.393144558,63.59963598,0.814980212,0.430494432,0.160573524,0.001116008,0.096997272,0.021871122,0,0,37.6046,126.991,212.335,2.785,5968.809082,28,19.7
2,2013-07-04,28,23.3,49.89584732,95.74264526,32.35338492,23.82650258,6.715577553,49.89441578,0.871372786,0.471478888,0.180969968,0.038712514,0.09699408,0.023716055,0,0,37.6046,127.032,44.7624,0.5141,5844.398438,30,21.7
3,2013-07-04,27.6,23.5,45.40433502,93.05579376,33.17204909,24.15359212,7.101394981,22.32540331,0.823592295,0.470336958,0.191683026,0.061246324,0.094417541,0.016411958,0,0,37.5776,127.058,33.3068,0.2661,5838.654297,30.8,22.1
4,2013-07-04,28.2,23.8,55.13098526,98.72331238,32.11501662,23.49937366,6.554396152,69.93757235,0.84786885,0.419372777,0.176809696,5.30E-05,0.11918667,0.020793876,0,0,37.645,127.022,45.716,2.5348,5832.032227,30.6,22.4
5,2013-07-04,28.1,23.5,49.99240875,95.07391357,31.64959883,23.60448983,6.261133621,105.169068,0.816708379,0.48095673,0.205967646,0.020116665,0.143001143,0.017670405,0,0,37.5507,127.135,35.038,0.5055,5834.413086,32.6,22.4
6,2013-07-04,28,24.3,46.4094429,90.99076843,32.78244945,24.13162119,6.413981895,52.16957251,0.800685381,0.446323646,0.143895535,0.049132151,0.173768983,0.009971718,0,0,37.5102,127.042,54.6384,0.1457,5848.636719,31.1,22.3
7,2013-07-04,26.9,23.9,58.78944397,96.01343536,30.61689172,22.34250011,6.220626603,105.4918361,0.818520084,0.484383686,0.107944932,0.020976978,0.077905968,0.008237174,0,0,37.5776,126.838,12.37,0.0985,5824.211914,30.7,21.7
8,2013-07-04,27.1,23.9,47.51968765,92.53102875,32.29255899,22.19936913,6.149758299,47.22515943,0.775390897,0.462138066,0.082516805,0.018655422,0.095488482,0.000586369,0,0,37.4697,126.91,52.518,1.5629,5838.573242,30.5,21.9
9,2013-07-04,26.9,23.5,55.48061371,95.71417999,30.75493191,22.01900775,6.709136238,83.58512841,0.769631396,0.521247613,0.114478487,0.022834952,0.050257292,0.007015801,0,0,37.4967,126.826,50.9312,0.4125,5851.988281,29.6,21.4
10,2013-07-04,26.1,23.5,46.40450287,95.19612885,31.21229095,21.42852242,6.862087339,58.28545545,0.710748408,0.497041954,0.086678573,0.00639245,0.146050716,0.002093735,0,0,37.4562,126.955,208.507,5.1782,5865.756348,30,21.5
11,2013-07-04,28.4,24.6,46.94271469,92.67618561,33.04117982,24.15276769,6.579924862,56.80211115,0.811752035,0.459538277,0.161408391,0.047500014,0.153679229,0.015421151,0,0,37.5372,127.085,28.7,0.6233,5839.283691,31.4,22.6
